Second Modifier	Category	Code	Remarks
Secured	Capability	01
Open	Capability	02
Response Actions	Capability	03
Internal Defense Measures	Capability	05
Advanced Persistent Threat	Capability	06
Nation State		07
Nation State Sponsored		08
